,Year,CO2-fossil (GtC/yr),CO2-landuse (GtC/yr),CH4 (Mt/yr),N2O (MtN2/yr),SOx (MtS/yr),CO (Mt/yr),NMVOC (Mt/yr),NOx (MtN/yr),BC (Mt/yr),OC (Mt/yr),NH3 (Mt/yr),CF4 (kt/yr),C2F6 (kt/yr),C6F14 (kt/yr),HFC23 (kt/yr),HFC32 (kt/yr),HFC43-10 (kt/yr),HFC125 (kt/yr),HFC134a (kt/yr),HFC143a (kt/yr),HFC227ea (kt/yr),HFC245fa (kt/yr),SF6 (kt/yr),CFC11 (kt/yr),CFC12 (kt/yr),CFC113 (kt/yr),CFC114 (kt/yr),CFC115 (kt/yr),CCl4 (kt/yr),Methyl chloroform (kt/yr),HCFC22 (kt/yr),HCFC141b (kt/yr),HCFC142b (kt/yr),Halon 1211 (kt/yr),Halon 1202 (kt/yr),Halon 1301 (kt/yr),Halon 2401 (kt/yr),CH3Br (kt/yr),CH3Cl (kt/yr)
31,1796.0,0.0063963864400340825,0.18776576373487844,25.74058407,0.20347509400000002,1.285694163391112,354.4783029,59.86424243,3.7496514581563947,2.153154616,15.6283698,7.581863097,0.010071225,0.0,0.0,0.0,0.000155881,0.0,0.0,0.0,0.0,2.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.99978,4271.1214
32,1797.0,0.006712627262463076,0.19122011298216315,26.23006226,0.2073191991,1.3214384907599972,363.5482372,61.47137695,3.9410181875726384,2.213475036,15.93865305,7.636302582,0.010071225,0.0,0.0,0.0,0.00015998,0.0,0.0,0.0,0.0,2.54e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.01623,4271.986
33,1798.0,0.006990649025657805,0.1947380123216769,26.54644012,0.211235928,1.3437411001590547,367.6501028,62.19763903,4.015745280056342,2.234056283,16.12667274,7.671017716,0.010070485,0.0,0.0,0.0,0.000164008,0.0,0.0,0.0,0.0,2.57e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.0081,4271.559
34,1799.0,0.0073630341011202,0.19832063085228357,26.70648817,0.2152266528,1.33198614353128,363.4860469,61.4962302,3.8829468243476324,2.207292165,16.03734279,7.67446285,0.010071964,0.0,0.0,0.0,0.000168006,0.0,0.0,0.0,0.0,2.61e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.99068,4270.6431
35,1800.0,0.007853247960324926,0.20196915925864575,27.05634308,0.2192927714,1.3506448043685417,365.8466368,62.00320914,3.86773473007147,2.215974055,16.2421417,7.740645322,0.010071225,0.0,0.0,0.0,0.000171953,0.0,0.0,0.0,0.0,2.64e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.95838,4268.9449
36,1801.0,0.0077923631056827985,0.20568481008411724,27.12488718,0.2234357081,1.345558439814722,364.9170684,61.66564779,3.9218876333048662,2.21940169,16.06373322,7.701186978,0.010071225,0.0,0.0,0.0,0.000176172,0.0,0.0,0.0,0.0,2.68e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.01099,4271.7107
37,1802.0,0.010116776317084755,0.20946881816737106,27.33978432,0.2276569144,1.365027316725642,362.9627075,61.32615659,3.814948394601015,2.202692661,16.07582361,7.763054085,0.010071225,0.0,0.0,0.0,0.00018017,0.0,0.0,0.0,0.0,2.72e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.99468,4270.8532
38,1803.0,0.008763957675126109,0.213322441133606,27.32049985,0.2319578688,1.3392725556728997,358.65078,60.40434182,3.7737394108748954,2.180015828,15.83103088,7.720863757,0.010071225,0.0,0.0,0.0,0.000184276,0.0,0.0,0.0,0.0,2.75e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.0108,4271.7009
39,1804.0,0.009565590378600318,0.21724695964015,27.46474997,0.2363400779,1.3472355129882465,359.528696,60.36470275,3.8715166106188823,2.197298087,15.67624811,7.68708673,0.010071225,0.0,0.0,0.0,0.000188332,0.0,0.0,0.0,0.0,2.79e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,105.0121,4271.7691
40,1805.0,0.009351564248343559,0.22124367797682346,27.9507982,0.2408050769,1.3662561005185276,364.3037043,61.31991146,3.8435613223409377,2.215042398,16.0941548,7.835162209,0.010071225,0.0,0.0,0.0,0.000192303,0.0,0.0,0.0,0.0,2.82e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.98963,4270.588
41,1806.0,0.00978648245748239,0.22531392442069986,28.13437245,0.2453544298,1.3695295668491085,364.3432293,61.22344968,3.8770556530009026,2.222822585,15.95144317,7.843541453,0.010071225,0.0,0.0,0.0,0.000196327,0.0,0.0,0.0,0.0,2.86e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.98239,4270.2074
42,1807.0,0.01047013855679164,0.2294590517000227,28.45865603,0.2499897303,1.3889469788994944,367.2349328,61.70646914,3.9067850857291413,2.239871982,16.11756408,7.906227329,0.010071225,0.0,0.0,0.0,0.000200421,0.0,0.0,0.0,0.0,2.9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.99423,4270.8298
43,1808.0,0.009785087469102477,0.23368043734896615,29.18524117,0.2547126021,1.4247764892787125,380.035272,64.08195973,4.070403804289205,2.311936484,16.7315469,8.095303457,0.010071225,0.0,0.0,0.0,0.000204308,0.0,0.0,0.0,0.0,2.93e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.95199,4268.6094
44,1809.0,0.00979370426614633,0.2379794843625767,29.12865813,0.25952469969999997,1.402345526786751,372.8486855,62.71002213,3.9401125708670053,2.26744264,16.44016599,8.062766978,0.010071225,0.0,0.0,0.0,0.000208462,0.0,0.0,0.0,0.0,2.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.979,4270.0292
45,1810.0,0.010412685281981368,0.24235762144237677,29.42453242,0.26442770860000003,1.4134023031495644,374.7180119,62.97351665,3.9616359141847823,2.279523716,16.52538808,8.107079152,0.010071225,0.0,0.0,0.0,0.000212353,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856862,0.0,0.0,0.0,0.0,0.007723273,0.0,0.0,0.0,104.93988,4267.9729
