,Year,Temperature Anomaly (°C),CO2 Emitted (GtC/yr),Sulfur Emitted (MtS/yr),CO2 Concentration (ppm),ERF (W/m2),Reward
19,2042.0,2.3195436000823975,44.173828125,65.18093872070312,482.6313171386719,3.8445539474487305,-4398.605899941392
20,2043.0,2.308147668838501,44.094757080078125,63.8607177734375,486.0072326660156,3.887474536895752,-4401.840411275108
21,2044.0,2.238447666168213,44.01568603515625,62.540496826171875,489.33331298828125,3.9452764987945557,-4391.979957597166
22,2045.0,2.321998357772827,43.936614990234375,61.220272064208984,492.57135009765625,4.020750999450684,-4416.070564645565
23,2046.0,2.3438100814819336,43.8575439453125,59.90005111694336,495.8527526855469,4.0965118408203125,-4426.495203343833
24,2047.0,2.3873021602630615,43.778472900390625,58.57982635498047,499.1247863769531,4.169708251953125,-4441.745597518995
25,2048.0,2.4271256923675537,43.69940185546875,57.259605407714844,502.40618896484375,4.230810165405273,-4456.200362004203
26,2049.0,2.454237699508667,43.620330810546875,55.93938446044922,505.69378662109375,4.266829967498779,-4467.817323120595
27,2050.0,2.4977784156799316,43.541259765625,54.61915969848633,508.97796630859375,4.284350395202637,-4483.114212365573
28,2051.0,2.5405821800231934,43.462188720703125,53.2989387512207,512.2723388671875,4.303631782531738,-4494.805576262101
29,2052.0,2.6076998710632324,43.1356201171875,52.569217681884766,515.5448608398438,4.326457500457764,-4512.299733110441
30,2053.0,2.39672589302063,42.80904769897461,51.839500427246094,518.8146362304688,4.35078239440918,-4466.840516908445
31,2054.0,2.3992228507995605,42.482479095458984,51.10978317260742,521.8677978515625,4.393314838409424,-4469.078154745347
32,2055.0,2.421649932861328,42.155906677246094,50.38006591796875,524.889404296875,4.443397045135498,-4475.785234448044
33,2056.0,2.4917795658111572,41.82933807373047,49.65034866333008,527.895751953125,4.50304651260376,-4493.3311779416135
34,2057.0,2.4107484817504883,41.50276565551758,48.92062759399414,530.922607421875,4.55064582824707,-4476.5467625271485
35,2058.0,2.6508066654205322,41.17619705200195,48.19091033935547,533.8480834960938,4.591939449310303,-4532.776487628533
36,2059.0,2.7116310596466064,40.84962463378906,47.4611930847168,536.9241333007812,4.623331546783447,-4548.621482070131
37,2060.0,2.65917706489563,40.52305603027344,46.731475830078125,539.9970703125,4.648070335388184,-4538.565290094517
38,2061.0,2.5977303981781006,40.19648361206055,46.00175476074219,542.984130859375,4.665340423583984,-4526.627046748471
39,2062.0,2.6127383708953857,39.70037841796875,45.59303283691406,545.86279296875,4.6836256980896,-4531.144045621651
40,2063.0,2.6195006370544434,39.20427322387695,45.18430709838867,548.6961669921875,4.705060958862305,-4534.578174829778
41,2064.0,2.745652198791504,38.708168029785156,44.77558135986328,551.4789428710938,4.73280668258667,-4565.61452456922
42,2065.0,2.6311588287353516,38.21206283569336,44.36685562133789,554.2976684570312,4.762072563171387,-4541.156709724167
43,2066.0,2.7268736362457275,37.71595764160156,43.9581298828125,556.9739990234375,4.814382076263428,-4565.128854040153
44,2067.0,2.8018970489501953,37.219852447509766,43.549407958984375,559.6670532226562,4.868412494659424,-4584.555580365612
45,2068.0,3.0017213821411133,36.72374725341797,43.140682220458984,562.3557739257812,4.915785789489746,-4633.383092672233
46,2069.0,2.918088436126709,36.22764205932617,42.731956481933594,565.1176147460938,4.943158149719238,-4616.378494990848
47,2070.0,2.8715872764587402,35.73154067993164,42.3232307434082,567.7584838867188,4.965109825134277,-4607.725612012425
48,2071.0,2.897277593612671,35.235435485839844,41.91450500488281,570.3084106445312,4.976551532745361,-4615.8372915528635
49,2072.0,2.9136459827423096,34.395729064941406,41.57363510131836,572.776123046875,4.987229347229004,-4622.135215147367
50,2073.0,2.858323097229004,33.55602264404297,41.232765197753906,575.156494140625,5.004477500915527,-4611.149134342658
51,2074.0,2.9275686740875244,32.71631622314453,40.89189147949219,577.4044189453125,5.022668361663818,-4629.472138087377
52,2075.0,2.8410918712615967,31.876609802246094,40.551021575927734,579.6057739257812,5.037189960479736,-4610.926221449496
53,2076.0,2.9357662200927734,31.036903381347656,40.210147857666016,581.6581420898438,5.059664249420166,-4635.233186800423
54,2077.0,3.0992565155029297,30.19719696044922,39.86927795410156,583.6837158203125,5.0804595947265625,-4676.406965948297
55,2078.0,2.8371260166168213,29.357492446899414,39.52840805053711,585.7176513671875,5.10969877243042,-4615.89528958207
56,2079.0,2.8637337684631348,28.517786026000977,39.18753433227539,587.4948120117188,5.159332275390625,-4623.735710718953
57,2080.0,3.008481740951538,27.67807960510254,38.84666442871094,589.2061767578125,5.195380687713623,-4660.250326393114
58,2081.0,3.125459909439087,26.8383731842041,38.505794525146484,590.9213256835938,5.217893600463867,-4693.669507278402
59,2082.0,3.0610408782958984,25.786975860595703,37.9713020324707,592.5872802734375,5.233887672424316,-4683.1927098164015
60,2083.0,3.117464065551758,24.735576629638672,37.43680953979492,594.098388671875,5.247353553771973,-4702.04930807465
61,2084.0,3.1354665756225586,23.684179306030273,36.90231704711914,595.5263671875,5.252796649932861,-4711.7176534904065
62,2085.0,3.001662492752075,22.632780075073242,36.36782455444336,596.8492431640625,5.255184650421143,-4684.064328424028
63,2086.0,3.0007359981536865,21.581382751464844,35.83333206176758,597.9852294921875,5.259288311004639,-4688.458410282674
64,2087.0,2.932407855987549,20.529983520507812,35.2988395690918,599.0133056640625,5.267944812774658,-4676.060507421622
65,2088.0,2.9571166038513184,19.478586196899414,34.764347076416016,599.897705078125,5.284863471984863,-4686.35693068385
66,2089.0,3.2236671447753906,18.427188873291016,34.2298583984375,600.6925659179688,5.306391716003418,-4757.273232667538
67,2090.0,3.1564693450927734,17.375789642333984,33.69536590576172,601.5179443359375,5.331752777099609,-4745.837292324435
68,2091.0,3.0889739990234375,16.324392318725586,33.16087341308594,602.198974609375,5.370296001434326,-4734.305020116233
69,2092.0,3.1830251216888428,15.660238265991211,32.927024841308594,602.7876586914062,5.404298305511475,-4762.966257311471
70,2093.0,3.246243953704834,14.996085166931152,32.69317626953125,603.3627319335938,5.416345119476318,-4784.599168755146
71,2094.0,3.1559739112854004,14.331932067871094,32.459327697753906,603.9052124023438,5.404758453369141,-4767.360735237072
72,2095.0,3.2621803283691406,13.667778015136719,32.22548294067383,604.3447875976562,5.394834995269775,-4799.861450113989
73,2096.0,3.1854145526885986,13.00362491607666,31.99163246154785,604.7703247070312,5.378111362457275,-4785.85167191729
74,2097.0,3.194570302963257,12.339471817016602,31.75778579711914,605.1002197265625,5.372833251953125,-4793.467343237312
75,2098.0,3.187138080596924,11.675318717956543,31.523937225341797,605.3729858398438,5.3709235191345215,-4796.744101603248
76,2099.0,3.0351011753082275,11.011165618896484,31.290090560913086,605.5816040039062,5.377371311187744,-4762.076189388871
77,2100.0,3.2411746978759766,10.347012519836426,31.056241989135742,605.6660766601562,5.402644157409668,-4820.203545115736
78,2101.0,3.2009637355804443,9.68285846710205,30.8223934173584,605.7767333984375,5.4225873947143555,-4787.01595493658
79,2102.0,3.2729249000549316,9.682307243347168,30.630451202392578,605.893798828125,5.436528205871582,-4782.225628829474
80,2103.0,3.3587632179260254,9.681756019592285,30.438507080078125,606.0589599609375,5.433124542236328,-4782.456349361143
81,2104.0,3.4366579055786133,9.681204795837402,30.246562957763672,606.2730712890625,5.42453145980835,-4781.102143605945
