,Year,Temperature Anomaly (°C),CO2 Emitted (GtC/yr),Sulfur Emitted (MtS/yr),CO2 Concentration (ppm),ERF (W/m2),Reward
55,2078.0,1.3860381841659546,-3.0414979457855225,99.52840423583984,393.1516418457031,2.3452677726745605,-4615.89528958207
56,2079.0,1.3932679891586304,-3.160113573074341,99.18753814697266,392.6273193359375,2.3686366081237793,-4623.735710718953
57,2080.0,1.5190613269805908,-3.278729200363159,98.84666442871094,392.0987854003906,2.3790087699890137,-4660.250326393114
58,2081.0,1.617357850074768,-3.3973448276519775,98.50579071044922,391.57080078125,2.375821590423584,-4693.669507278402
59,2082.0,1.5345016717910767,-3.4893226623535156,97.97129821777344,391.04571533203125,2.366427183151245,-4683.1927098164015
60,2083.0,1.5728912353515625,-3.5813002586364746,97.43680572509766,390.5179748535156,2.3559672832489014,-4702.04930807465
61,2084.0,1.5732582807540894,-3.6732780933380127,96.90231323242188,389.9900817871094,2.3382790088653564,-4711.7176534904065
62,2085.0,1.4222333431243896,-3.7652556896209717,96.36782836914062,389.4610290527344,2.3185222148895264,-4684.064328424028
63,2086.0,1.4046212434768677,-3.8572335243225098,95.83333587646484,388.9277648925781,2.302194356918335,-4688.458410282674
64,2087.0,1.320107340812683,-3.9492111206054688,95.29884338378906,388.39166259765625,2.291388750076294,-4676.060507421622
65,2088.0,1.3291552066802979,-4.041188716888428,94.76435089111328,387.8518981933594,2.290139675140381,-4686.35693068385
66,2089.0,1.5805175304412842,-4.133166790008545,94.2298583984375,387.3092346191406,2.2942850589752197,-4757.273232667538
67,2090.0,1.4984147548675537,-4.225144386291504,93.69536590576172,386.76580810546875,2.301945447921753,-4745.837292324435
68,2091.0,1.4164304733276367,-4.317121982574463,93.16087341308594,386.22149658203125,2.324118137359619,-4734.305020116233
69,2092.0,1.4966524839401245,-4.36541748046875,92.9270248413086,385.6808166503906,2.3441450595855713,-4762.966257311471
70,2093.0,1.5465061664581299,-4.413712978363037,92.69317626953125,385.142333984375,2.342350721359253,-4784.599168755146
71,2094.0,1.4432371854782104,-4.462008476257324,92.4593276977539,384.6063537597656,2.3172476291656494,-4767.360735237072
72,2095.0,1.5368694067001343,-4.510303974151611,92.22547912597656,384.0740966796875,2.294806957244873,-4799.861450113989
73,2096.0,1.447863221168518,-4.558599472045898,91.99163055419922,383.54217529296875,2.26568865776062,-4785.85167191729
74,2097.0,1.4451688528060913,-4.6068949699401855,91.75778198242188,383.013671875,2.248943567276001,-4793.467343237312
75,2098.0,1.4262579679489136,-4.655190467834473,91.52394104003906,382.4861755371094,2.236100196838379,-4796.744101603248
76,2099.0,1.263105869293213,-4.70348596572876,91.29009246826172,381.9598693847656,2.2322185039520264,-4762.076189388871
77,2100.0,1.4585118293762207,-4.751781463623047,91.05624389648438,381.4377136230469,2.248363733291626,-4820.203545115736
78,2101.0,1.4079047441482544,-4.800076961517334,90.82239532470703,380.9097595214844,2.2588448524475098,-4787.01595493658
79,2102.0,1.4697997570037842,-4.704075336456299,90.63044738769531,380.4023132324219,2.2641351222991943,-4782.225628829474
80,2103.0,1.5457886457443237,-4.608073711395264,90.43850708007812,379.9102478027344,2.251816749572754,-4782.456349361143
81,2104.0,1.613972544670105,-4.512072563171387,90.24656677246094,379.4327087402344,2.234030246734619,-4781.102143605945
