,year,erf
294,1774.5,0.245882851
295,1774.583333,0.245929805
296,1774.666667,0.245972681
297,1774.75,0.246011849
298,1774.833333,0.246047622
299,1774.916667,0.24608028
300,1775.0,0.24611008
301,1775.083333,0.246137274
302,1775.166667,0.246162116
303,1775.25,0.246184826
304,1775.333333,0.246205573
305,1775.416667,0.246224518
306,1775.5,0.246241792
307,1775.583333,0.246257554
308,1775.666667,0.24627195
309,1775.75,0.246285113
310,1775.833333,0.246297142
311,1775.916667,0.246308114
312,1776.0,0.246318115
313,1776.083333,0.246327235
314,1776.166667,0.246335573
315,1776.25,0.246343204
316,1776.333333,0.246350189
317,1776.416667,0.24635656
318,1776.5,0.246362361
319,1776.583333,0.246367643
320,1776.666667,0.246372472
321,1776.75,0.246376897
322,1776.833333,0.246380946
323,1776.916667,0.246384639
324,1777.0,0.246387994
325,1777.083333,0.246391039
326,1777.166667,0.246393835
327,1777.25,0.246396401
328,1777.333333,0.246398767
329,1777.416667,0.246400921
330,1777.5,0.246402864
331,1777.583333,0.246404623
332,1777.666667,0.246406238
333,1777.75,0.246407731
334,1777.833333,0.246409103
335,1777.916667,0.246410343
336,1778.0,0.246411462
337,1778.083333,0.246412473
338,1778.166667,0.246413403
339,1778.25,0.24641427
340,1778.333333,0.246415084
341,1778.416667,0.246415815
342,1778.5,0.246416459
343,1778.583333,0.246417044
344,1778.666667,0.246417577
345,1778.75,0.246418084
346,1778.833333,0.246418553
347,1778.916667,0.246418976
348,1779.0,0.246419347
349,1779.083333,0.246419674
350,1779.166667,0.246419976
351,1779.25,0.246420273
352,1779.333333,0.246420559
353,1779.416667,0.246420815
354,1779.5,0.246421028
355,1779.583333,0.246421212
356,1779.666667,0.246421385
357,1779.75,0.246421564
358,1779.833333,0.246421732
359,1779.916667,0.246421879
360,1780.0,0.246421993
361,1780.083333,0.246422085
362,1780.166667,0.24642218
363,1780.25,0.246422287
364,1780.333333,0.246422401
365,1780.416667,0.246422493
366,1780.5,0.246422565
367,1780.583333,0.246422614
368,1780.666667,0.246422659
369,1780.75,0.246422725
370,1780.833333,0.246422794
371,1780.916667,0.246422845
372,1781.0,0.246422872
373,1781.083333,0.246422886
374,1781.166667,0.246422913
375,1781.25,0.246422956
376,1781.333333,0.24642301
377,1781.416667,0.246423053
378,1781.5,0.246423074
379,1781.583333,0.246423082
380,1781.666667,0.246423096
381,1781.75,0.246423117
382,1781.833333,0.246423153
383,1781.916667,0.246423179
384,1782.0,0.246423182
385,1782.083333,0.246423167
386,1782.166667,0.246423166
387,1782.25,0.246423191
388,1782.333333,0.246423224
389,1782.416667,0.246423251
390,1782.5,0.246423256
391,1782.583333,0.246423247
392,1782.666667,0.246423239
393,1782.75,0.246423255
394,1782.833333,0.24642328
395,1782.916667,0.246423296
396,1783.0,0.246423287
397,1783.083333,-0.883908668
398,1783.166667,-1.659284715
399,1783.25,-2.168898638
400,1783.333333,-2.48091626
401,1783.416667,-2.638121625
402,1783.5,-2.69281239
403,1783.583333,-2.682180206
404,1783.666667,-2.622817817
405,1783.75,-2.517420941
406,1783.833333,-2.388456244
407,1783.916667,-2.245435227
408,1784.0,-2.09532975
409,1784.083333,-1.94319503
410,1784.166667,-1.792634568
411,1784.25,-1.646155127
412,1784.333333,-1.505441066
413,1784.416667,-1.371565546
414,1784.5,-1.245152309
415,1784.583333,-1.126496104
416,1784.666667,-1.015654246
417,1784.75,-0.912515405
418,1784.833333,-0.816850736
419,1784.916667,-0.728351956
420,1785.0,-0.646659526
421,1785.083333,-0.571384272
422,1785.166667,-0.502123949
423,1785.25,-0.438475038
424,1785.333333,-0.380041211
425,1785.416667,-0.326439799
426,1785.5,-0.277305472
427,1785.583333,-0.232292911
428,1785.666667,-0.191077259
429,1785.75,-0.153354758
430,1785.833333,-0.118842398
431,1785.916667,-0.087277128
432,1786.0,-0.05841512
433,1786.083333,-0.032030671
434,1786.166667,-0.007915502
435,1786.25,0.014122326
436,1786.333333,0.034259366
437,1786.416667,0.052657716
438,1786.5,0.069466109
439,1786.583333,0.084820746
440,1786.666667,0.098846466
441,1786.75,0.111657499
442,1786.833333,0.123358396
443,1786.916667,0.134044816
444,1787.0,0.143804335
445,1787.083333,0.152717071
446,1787.166667,0.160856302
447,1787.25,0.168289057
448,1787.333333,0.175076546
449,1787.416667,0.181274729
450,1787.5,0.18693471
451,1787.583333,0.192103163
452,1787.666667,0.196822752
453,1787.75,0.201132433
454,1787.833333,0.205067754
455,1787.916667,0.208661199
456,1788.0,0.211942431
457,1788.083333,0.214938562
458,1788.166667,0.21767438
459,1788.25,0.220172505
460,1788.333333,0.222453584
461,1788.416667,0.224536465
462,1788.5,0.226438343
